LN_IC50,Gene Expression,Copy Number Alterations (CNA),Methylation,TARGET,TARGET_PATHWAY,DRUG_NAME_x,CELL_LINE_NAME,TCGA_DESC,"Cancer Type
(matching TCGA label)","GDSC
Tissue descriptor 1","GDSC
Tissue
descriptor 2",Screen Medium,Growth Properties
5.416927,1,1,1,144,7,105,208,3,3,1,6,1,0
4.987933,1,1,1,182,7,44,463,16,16,7,17,1,0
-3.346317,1,1,1,39,2,69,679,21,21,12,28,0,0
0.892071,1,1,1,106,20,84,547,21,21,12,28,0,0
6.226089,1,1,1,101,1,138,728,22,22,16,30,0,0
5.928066,1,1,1,94,13,119,208,3,3,1,6,1,0
6.196548,1,1,1,179,1,123,740,2,2,16,1,0,0
2.504426,1,1,1,101,1,138,57,13,13,5,8,1,2
4.717092,1,1,1,91,17,188,651,10,10,0,12,0,0
-3.92355,1,1,1,114,15,174,43,21,21,12,28,0,0
3.274392,1,1,1,124,20,31,34,3,3,1,6,1,0
1.281738,1,1,1,157,17,46,607,10,10,0,12,1,0
3.180417,1,1,1,105,20,60,39,11,11,3,13,0,0
2.103741,1,1,1,7,18,226,573,11,11,3,13,1,0
2.968744,1,1,1,36,17,114,119,4,4,16,7,1,0
4.004244,1,1,1,64,11,85,747,8,8,0,29,0,0
2.728382,1,1,1,123,10,187,658,26,26,14,25,0,0
3.252938,1,1,1,54,8,82,769,26,26,14,25,0,0
4.249383,1,1,1,184,13,71,82,1,1,5,22,1,2
1.596491,1,1,1,154,4,223,774,7,7,9,0,1,2
5.613954,1,1,1,11,10,228,32,28,28,15,34,0,0
2.68503,1,1,1,22,1,232,781,26,26,14,25,1,0
0.811242,1,1,1,98,16,77,583,22,22,16,30,1,0
4.519078,1,1,1,74,22,189,234,10,10,0,12,0,0
3.482751,1,1,1,6,18,141,61,4,4,16,7,0,0
3.677777,1,1,1,134,18,56,328,12,12,5,15,1,2
4.68146,1,1,1,123,10,187,75,28,28,15,34,0,0
-0.186908,1,1,1,31,5,120,107,25,25,8,20,1,2
4.316858,0,1,0,123,10,154,581,22,22,16,30,0,0
3.59754,1,1,1,103,9,200,536,16,16,7,17,0,0
4.60711,1,1,1,29,9,171,11,28,28,15,34,1,0
2.2076,1,1,1,144,7,105,513,19,19,6,26,1,0
2.936495,1,1,1,41,2,175,385,3,3,1,6,0,0
4.97869,1,1,1,29,9,191,73,3,3,1,6,0,0
6.906142,1,1,1,112,14,246,341,20,20,10,27,1,2
5.29321,1,1,1,140,16,128,7,11,11,3,13,1,0
1.597021,1,1,1,103,9,219,392,4,4,16,7,0,0
3.597888,1,1,1,176,2,240,575,10,10,0,12,0,0
5.356474,1,1,1,89,16,177,607,10,10,0,12,1,0
7.713834,1,1,1,112,14,246,500,16,16,7,17,1,0
-0.321196,1,1,1,11,10,22,636,1,1,5,21,1,2
6.064633,1,1,1,46,16,64,716,6,6,4,14,0,0
3.525049,1,1,1,41,2,185,330,8,8,0,29,1,0
2.40046,1,1,1,128,18,178,400,21,21,12,28,1,0
3.703401,1,1,1,45,2,142,759,28,28,15,34,0,0
6.263312,1,1,1,30,5,158,322,21,21,12,28,1,0
-0.750272,1,1,1,116,16,176,604,10,10,0,12,1,0
-0.242404,1,1,1,53,17,102,221,12,12,5,4,1,1
7.302796,1,1,1,108,10,146,129,9,9,11,10,0,0
1.836528,1,1,1,109,18,216,358,9,9,11,10,0,0
1.807438,1,1,1,69,20,167,89,21,21,12,28,0,0
3.267588,1,1,0,21,1,237,621,11,11,3,13,0,0
2.787125,1,1,1,56,8,198,198,16,16,7,17,1,0
4.919607,1,1,1,18,7,83,609,22,22,16,30,1,0
3.169732,1,1,1,0,16,245,416,1,1,5,22,1,2
-3.791865,1,1,1,17,7,81,591,1,1,5,21,1,2
5.540498,1,1,1,178,16,97,536,16,16,7,17,0,0
2.272107,1,1,1,83,12,151,765,9,9,11,10,0,0
0.231433,1,1,1,130,18,87,568,8,8,0,29,1,0
2.563889,1,1,1,104,20,199,432,21,21,12,28,0,0
-1.09517,1,1,1,61,9,192,406,12,12,5,4,1,2
4.26985,1,1,1,131,18,25,457,16,16,7,17,0,0
-3.064871,1,1,1,117,14,67,688,9,9,11,10,1,0
3.608783,1,1,1,146,6,72,446,16,16,7,17,0,0
-3.552214,1,1,1,114,15,174,714,1,1,5,21,1,2
4.265315,1,1,1,137,4,101,628,16,16,7,17,0,0
1.434959,1,1,1,34,3,34,709,7,7,9,0,1,2
2.409378,1,1,1,146,6,72,364,20,20,10,27,0,2
-2.73787,1,1,1,110,18,183,143,25,25,8,20,0,0
2.200239,1,1,1,178,16,97,637,13,13,5,8,1,2
5.133887,1,1,1,91,17,118,582,22,22,16,30,1,0
5.425447,1,1,1,158,17,173,173,28,28,15,34,0,0
-0.414364,1,1,1,177,2,140,576,22,22,16,30,0,0
4.705903,1,1,1,15,7,61,545,20,20,10,27,1,2
5.92539,1,1,1,145,7,132,63,26,26,14,25,0,0
0.777796,1,1,1,93,17,10,232,10,10,0,12,0,0
1.646558,1,1,1,77,3,79,504,19,19,6,26,1,0
6.526739,1,1,1,172,19,163,512,19,19,6,26,1,0
-0.51127,1,1,1,169,10,214,790,1,1,9,23,0,2
-3.743715,1,1,1,98,16,77,45,2,2,16,1,0,0
3.957578,0,1,1,156,16,235,493,25,25,8,20,0,2
0.658201,1,1,1,77,3,79,223,12,12,5,4,0,2
-0.015627,1,1,1,103,9,219,149,2,2,16,1,1,0
3.702647,1,1,1,62,9,76,190,16,16,7,17,1,0
2.554199,1,1,1,176,2,240,219,3,3,1,6,0,0
5.767914,1,1,1,118,17,99,737,6,6,4,14,0,0
4.248472,1,1,1,120,20,12,629,17,17,7,19,1,0
2.721881,1,1,1,165,7,116,121,6,6,4,14,0,0
4.713664,0,1,1,150,17,195,378,21,21,12,28,0,0
0.127796,1,1,1,23,1,197,758,22,22,16,30,0,0
3.72929,1,1,1,131,18,25,203,3,3,1,6,1,0
